epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8155.79,0.48259,0.3349,0.92001,0.75448,0.93039,0.85765,0.72973,0.67811,1.2759,0.93603,0.0033333,0.0033333,0.0033333
2,16613.4,0.52143,0.36791,0.93953,0.75083,0.92822,0.8559,0.72836,0.68655,1.26581,0.94188,0.00600664,0.00600664,0.00600664
3,23970.1,0.55977,0.40166,0.96059,0.75301,0.92315,0.85431,0.72525,0.69479,1.31117,0.94744,0.00801998,0.00801998,0.00801998
4,31363.5,0.56567,0.40897,0.96434,0.76391,0.91694,0.85056,0.71696,0.72231,1.32103,0.95996,0.00703,0.00703,0.00703
5,38985.1,0.53859,0.38405,0.94956,0.76198,0.91734,0.84999,0.71368,0.72988,1.32507,0.96157,0.00604,0.00604,0.00604
6,47297.5,0.51737,0.3657,0.93754,0.75522,0.9229,0.85244,0.7189,0.70938,1.31708,0.95152,0.00505,0.00505,0.00505
7,54586.8,0.49766,0.34865,0.92746,0.75676,0.93098,0.85617,0.72476,0.69351,1.31016,0.94394,0.00406,0.00406,0.00406
8,62731.5,0.47806,0.33234,0.91733,0.75393,0.93765,0.859,0.73266,0.67673,1.2792,0.93706,0.00307,0.00307,0.00307
9,70049,0.45716,0.31523,0.90693,0.75076,0.94721,0.86165,0.73824,0.66622,1.23682,0.9315,0.00208,0.00208,0.00208
10,77736.5,0.43393,0.29696,0.89623,0.75516,0.94809,0.86411,0.74192,0.65725,1.17785,0.92561,0.00109,0.00109,0.00109
