                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1203,                  1.947,                  1.217,                   0.61,                0.51079,                0.48457,                 0.3733,                0.80874,                0.92926,                 1.0058,             0.00030201,             0.00030201,             0.00030201
                      1,                0.93298,                 1.0932,                 1.0905,                0.66952,                0.56773,                0.56629,                0.44096,                    0.8,                0.79651,                0.98928,             0.00059902,             0.00059902,             0.00059902
                      2,                0.90032,                0.97236,                 1.0693,                0.54155,                0.58953,                0.58975,                0.46229,                0.75263,                0.75887,                0.97276,             0.00089003,             0.00089003,             0.00089003
                      3,                0.88435,                0.90099,                 1.0603,                0.60887,                0.64228,                0.64323,                0.49686,                0.79196,                0.69797,                0.99509,               0.000882,               0.000882,               0.000882
                      4,                0.86233,                0.84874,                 1.0514,                0.66487,                0.65091,                0.66664,                0.53494,                0.72975,                 0.6432,                0.97134,               0.000882,               0.000882,               0.000882
                      5,                0.85479,                0.81439,                 1.0445,                0.72869,                0.66403,                0.72334,                0.59039,                0.69638,                0.59679,                0.95357,               0.000873,               0.000873,               0.000873
                      6,                0.84371,                0.78479,                 1.0412,                0.69148,                0.67846,                0.72557,                0.58472,                0.72448,                 0.5906,                0.96285,               0.000864,               0.000864,               0.000864
                      7,                0.83654,                0.76347,                 1.0393,                0.71389,                0.69872,                0.73986,                0.60517,                0.68697,                0.56528,                0.95417,             0.00085501,             0.00085501,             0.00085501
                      8,                0.82382,                0.74652,                 1.0316,                0.72261,                0.68225,                0.73151,                0.59435,                0.72282,                0.57919,                0.96734,             0.00084601,             0.00084601,             0.00084601
                      9,                0.82254,                0.73331,                 1.0312,                0.69116,                0.72665,                0.76212,                0.62164,                0.67872,                 0.5478,                0.94764,             0.00083701,             0.00083701,             0.00083701
                     10,                0.81252,                0.72547,                 1.0252,                0.73401,                0.71365,                0.76405,                0.62491,                0.68588,                0.53914,                0.95511,             0.00082801,             0.00082801,             0.00082801
                     11,                0.80961,                0.71121,                 1.0257,                0.73786,                0.71301,                0.76384,                0.62579,                0.67043,                0.53122,                0.94396,             0.00081901,             0.00081901,             0.00081901
                     12,                0.80122,                 0.7006,                 1.0206,                0.68808,                0.73367,                0.76589,                0.62086,                0.69251,                0.54477,                0.95769,             0.00081001,             0.00081001,             0.00081001
                     13,                0.80433,                   0.69,                 1.0234,                0.77259,                 0.7257,                0.79179,                 0.6447,                0.69145,                0.52422,                0.95293,             0.00080101,             0.00080101,             0.00080101
                     14,                0.79594,                0.68138,                 1.0189,                0.73397,                0.73188,                0.78034,                0.64531,                0.66798,                0.50549,                0.94734,             0.00079201,             0.00079201,             0.00079201
                     15,                0.79162,                0.67199,                  1.016,                0.76212,                0.73723,                0.78492,                0.64638,                0.66893,                0.50165,                0.94134,             0.00078301,             0.00078301,             0.00078301
                     16,                 0.7887,                0.66333,                 1.0144,                0.75597,                0.72478,                  0.784,                0.64538,                0.66475,                 0.5155,                0.94371,             0.00077401,             0.00077401,             0.00077401
                     17,                0.78673,                0.66356,                 1.0161,                0.77933,                0.72373,                0.79504,                0.65728,                  0.658,                0.50274,                0.94171,             0.00076501,             0.00076501,             0.00076501
                     18,                0.78157,                0.65293,                 1.0121,                0.77564,                0.74209,                0.80114,                0.66222,                0.66308,                0.48685,                0.94168,             0.00075602,             0.00075602,             0.00075602
                     19,                0.78044,                0.64514,                 1.0117,                0.75485,                0.74625,                0.79914,                0.65808,                0.69135,                 0.5091,                0.95785,             0.00074702,             0.00074702,             0.00074702
                     20,                0.77399,                0.63792,                 1.0075,                0.74428,                0.74696,                0.78857,                0.65197,                0.67329,                0.50423,                0.95815,             0.00073802,             0.00073802,             0.00073802
                     21,                0.77204,                0.63029,                 1.0094,                 0.7923,                0.71706,                0.80648,                0.67208,                0.64847,                0.47663,                0.94102,             0.00072902,             0.00072902,             0.00072902
